company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
BranchOut Food (NAS: BOF),BOF,0001962481,16-Jun-2023,IPO,"""Bend, OR""",,SEC,LOW,MATCH_NO_DATE,BranchOut Food Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1962481/000149315226014040/form10-k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-31
Braze (NAS: BRZE),BRZE,0001676238,17-Nov-2021,IPO,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,"Braze, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1676238/000167623826000016/brz-20260407.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
Broadpeak (PAR: ALBPK),ALBPK,,13-Jun-2022,IPO,"""Cesson Sevigne, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Br�ush (PINX: BRSHF),BRSHF,,04-Aug-2022,IPO,"""Vancouver, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
BTQ Technologies (NEOE: BTQ),BTQ,0001821866,17-Feb-2023,Reverse Merger,"""Vancouver, Canada""",,SEC,LOW,NO_TARGET_FORM,BTQ Technologies Corp.,,,"Matched by ticker, but no target form found in recent submissions"
Buda Juice (ASE: BUDA),BUDA,0002079720,08-Jan-2026,IPO,"""Dallas, TX""",,SEC,LOW,MATCH_NO_DATE,"BUDA JUICE, INC.",10-K,https://www.sec.gov/Archives/edgar/data/2079720/000149315226012988/form10-k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-26
BullFrog AI (NAS: BFRG),BFRG,0001829247,14-Feb-2023,IPO,"""Gaithersburg, MD""",,SEC,LOW,MATCH_NO_DATE,"BullFrog AI Holdings, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1829247/000149315226014595/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Bumble (NAS: BMBL),BMBL,0001830043,11-Feb-2021,IPO,"""Austin, TX""",2020-10-05,SEC filing,HIGH,SEC_MATCH,Bumble Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1830043/000183004326000027/bmbl-20251231.htm,"Extracted from filing text: incorporated in Delaware on October 5, 2020"
BuzzFeed (NAS: BZFD),BZFD,0001828972,03-Dec-2021,Reverse Merger,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,"BuzzFeed, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1828972/000182897226000030/bzfd-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-16
Cadrenal Therapeutics (NAS: CVKD),CVKD,0001937993,20-Jan-2023,IPO,"""Ponte Vedra Beach, FL""",,SEC,LOW,MATCH_NO_DATE,"Cadrenal Therapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1937993/000121390026038014/ea0284507-8k_cadrenal.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Caliber (Arizona) (NAS: CWD),CWD,0001627282,17-May-2023,IPO,"""Scottsdale, AZ""",,SEC,LOW,MATCH_NO_DATE,CaliberCos Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1627282/000121390026037625/ea0284193-8k_calibercos.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-31
Calidi Biotherapeutics (ASE: CLDI),CLDI,0001855485,12-Sep-2023,Reverse Merger,"""San Diego, CA""",,SEC,LOW,MATCH_NO_DATE,"Calidi Biotherapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1855485/000149315226014951/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-02
CAMP4 (NAS: CAMP),CAMP,0001736730,11-Oct-2024,IPO,"""Cambridge, MA""",,SEC,LOW,MATCH_NO_DATE,Camp4 Therapeutics Corp,8-K,https://www.sec.gov/Archives/edgar/data/1736730/000173673026000021/camp-20260318.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-24
Canatu (HEL: CANATU),CANATU,,16-Sep-2024,Reverse Merger,"""Vantaa, Finland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Cantourage (FRA: HIGH),HIGH,,11-Nov-2022,IPO,"""Berlin, Germany""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
CapsoVision (NAS: CV),CV,0001378325,02-Jul-2025,IPO,"""Saratoga, CA""",2005,SEC filing,MEDIUM,SEC_MATCH,"CapsoVision, Inc",10-K,https://www.sec.gov/Archives/edgar/data/1378325/000137832526000010/cv-20251231.htm,Extracted from filing text: incorporated in 2005
Caribou Biosciences (NAS: CRBU),CRBU,0001619856,23-Jul-2021,IPO,"""Berkeley, CA""",,SEC,LOW,MATCH_NO_DATE,"Caribou Biosciences, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1619856/000161985626000012/crbu-20260331.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-31
Carisma Therapeutics (PINX: CARM),CARM,0001485003,07-Mar-2023,Reverse Merger,"""Philadelphia, PA""",,SEC,LOW,MATCH_NO_DATE,Carisma Therapeutics Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1485003/000110465925118863/tm2532811d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2025-12-05
Carlsmed (NAS: CARL),CARL,0001794546,23-Jul-2025,IPO,"""Carlsbad, CA""",2018-06,SEC filing,MEDIUM_HIGH,SEC_MATCH,"CARLSMED, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1794546/000119312526071551/carl-20251231.htm,Extracted from filing text: incorporated in Delaware in June 2018
Cartesian Therapeutics (NAS: RNAC),RNAC,0001453687,13-Nov-2023,Reverse Merger,"""Frederick, MD""",,SEC,LOW,MATCH_NO_DATE,"Cartesian Therapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1453687/000145368726000068/rnac-20260326.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-30
Cava Group (Restaurants and Bars) (NYS: CAVA),CAVA,0001639438,16-Jun-2023,IPO,"""Washington, DC""",,SEC,LOW,MATCH_NO_DATE,"CAVA GROUP, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1639438/000162828026020983/cava-20260320.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-25
Centessa Pharmaceuticals (NAS: CNTA),CNTA,0001847903,28-May-2021,IPO,"""Altrincham, United Kingdom""",2020-10-26,SEC filing,HIGH,SEC_MATCH,Centessa Pharmaceuticals plc,10-K,https://www.sec.gov/Archives/edgar/data/1847903/000184790326000025/cnta-20251231.htm,"Extracted from filing text: incorporated on October 26, 2020"
Century Therapeutics (NAS: IPSC),IPSC,0001850119,18-Jun-2021,IPO,"""Philadelphia, PA""",,SEC,LOW,MATCH_NO_DATE,"Century Therapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1850119/000110465926035256/tm269823d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-26
Ceribell (NAS: CBLL),CBLL,0001861107,11-Oct-2024,IPO,"""Sunnyvale, CA""",2014,SEC filing,LOW,SEC_MATCH,"Ceribell, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1861107/000119312526067238/cbll-20251231.htm,Extracted from filing text: founded in 2014
CERo Therapeutics Holdings (PINX: CERO),CERO,0001870404,07-Jun-2023,Reverse Merger,"""South San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,"CERO THERAPEUTICS HOLDINGS, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1870404/000121390026025817/ea0280905-8k_cero.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-11
