company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Alfonsino (MIL: ALFO),ALFO,,22-Nov-2021,IPO,"""Caserta, Italy""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Alkami (NAS: ALKT),ALKT,0001529274,13-Apr-2021,IPO,"""Plano, TX""",,SEC,LOW,MATCH_NO_DATE,"ALKAMI TECHNOLOGY, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1529274/000152927426000014/alk-20260331.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Allurion Technologies (NYS: ALUR),ALUR,0001964979,01-Aug-2023,Reverse Merger,"""Paris, France""",2017,SEC filing,MEDIUM,SEC_MATCH,"ALLURION TECHNOLOGIES, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1964979/000119312526130483/alur-20251231.htm,Extracted from filing text: incorporated in 2017
Alto Neuroscience (NYS: ANRO),ANRO,0001999480,02-Feb-2024,IPO,"""Mountain View, CA""",,SEC,LOW,MATCH_NO_DATE,"Alto Neuroscience, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1999480/000110465926038593/tm2610746d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Alumis (NAS: ALMS),ALMS,0001847367,28-Jun-2024,IPO,"""South San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,ALUMIS INC.,8-K,https://www.sec.gov/Archives/edgar/data/1847367/000110465926036386/tm269978d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-30
Alzamend Neuro (NAS: ALZN),ALZN,0001677077,15-Jun-2021,IPO,"""Atlanta, GA""",,SEC,LOW,MATCH_NO_DATE,"Alzamend Neuro, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1677077/000121465926003620/g3202628k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-20
Ambiq (NYS: AMBQ),AMBQ,0001500412,30-Jul-2025,IPO,"""Austin, TX""",,SEC,LOW,MATCH_NO_DATE,"Ambiq Micro, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1500412/000119312526094004/ambq-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-05
Amprius Technologies (NYS: AMPX),AMPX,0001899287,14-Sep-2022,Reverse Merger,"""Fremont, CA""",,SEC,LOW,MATCH_NO_DATE,"Amprius Technologies, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1899287/000189928726000015/ampx-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-06
AMTD Digital (NYS: HKD),HKD,0001809691,15-Jul-2022,IPO,"""Paris, France""",2019-09,SEC filing,MEDIUM_HIGH,SEC_MATCH,AMTD Digital Inc.,20-F,https://www.sec.gov/Archives/edgar/data/1809691/000121390026021555/ea0276786-20f_amtd.htm,Extracted from filing text: incorporated in September 2019
Amylyx Pharmaceuticals (NAS: AMLX),AMLX,0001658551,07-Jan-2022,IPO,"""Cambridge, MA""",,SEC,LOW,MATCH_NO_DATE,"Amylyx Pharmaceuticals, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1658551/000119312526120691/d49067d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-24
