company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
High Roller Technologies (ASE: ROLR),ROLR,0001947210,23-Oct-2024,IPO,"""Las Vegas, NV""",,SEC,LOW,MATCH_NO_DATE,"High Roller Technologies, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1947210/000175392626000614/rolr-20260331.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-02
Hinge Health (NYS: HNGE),HNGE,0001673743,22-May-2025,IPO,"""San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,"Hinge Health, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1673743/000162828026018710/hnge-20260316.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-17
HomeToGo (FRA: HTG),HTG,,21-Sep-2021,Reverse Merger,"""Berlin, Germany""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Horizon Aircraft (NAS: HOVR),HOVR,0001930021,28-May-2021,Merger/Acquisition,"""Lindsay, Canada""",,SEC,LOW,MATCH_NO_DATE,New Horizon Aircraft Ltd.,8-K,https://www.sec.gov/Archives/edgar/data/1930021/000121390026004156/ea0272553-8k_newhorizon.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-01-14
Humacyte Global (NAS: HUMA),HUMA,0001818382,26-Aug-2021,Reverse Merger,"""Durham, NC""",2020-07-01,SEC filing,HIGH,SEC_MATCH,"Humacyte, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1818382/000181838226000004/huma-20251231.htm,"Extracted from filing text: incorporated in Delaware on July 1, 2020"
Huuuge (WAR: HUG),HUG,,19-Feb-2021,IPO,"""Dover, DE""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Hybrid Power Solutions (CNQ: HPSS),HPSS,,01-Dec-2023,IPO,"""Etobicoke, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Hydralyte (ASX: HPC),HPC,,14-Dec-2021,IPO,"""La Jolla, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Hyperfine (NAS: HYPR),HYPR,0001833769,22-Dec-2021,Reverse Merger,"""Guilford, CT""",2018,SEC filing,LOW,SEC_MATCH,"Hyperfine, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1833769/000119312526114044/hypr-20251231.htm,Extracted from filing text: founded in 2018
Ibotta (NYS: IBTA),IBTA,0001538379,18-Apr-2024,IPO,"""Denver, CO""",,SEC,LOW,MATCH_NO_DATE,"Ibotta, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1538379/000162828026016980/ibta-20260311.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-12
IKS Health (NSE: IKS),IKS,,19-Dec-2024,IPO,"""Coppell, TX""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
ImageneBio (NAS: IMA),IMA,0001835579,25-Jul-2025,Reverse Merger,"""San Diego, CA""",,SEC,LOW,MATCH_NO_DATE,"ImageneBio, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1835579/000119312526110945/d56716d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-17
Imeon Energy (PAR: MLIME),MLIME,,09-Aug-2024,IPO,"""Brest, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Immix Biopharma (NAS: IMMX),IMMX,0001873835,16-Dec-2021,IPO,"""Los Angeles, CA""",,SEC,LOW,MATCH_NO_DATE,"Immix Biopharma, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1873835/000149315226013663/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-30
Immuneering (NAS: IMRX),IMRX,0001790340,30-Jul-2021,IPO,"""Cambridge, MA""",2008,SEC filing,MEDIUM,SEC_MATCH,Immuneering Corp,10-K,https://www.sec.gov/Archives/edgar/data/1790340/000179034026000042/imrx-20251231.htm,Extracted from filing text: incorporated in 2008
ImmunityBio (NAS: IBRX),IBRX,0001326110,08-Mar-2021,Reverse Merger,"""San Diego, CA""",,SEC,LOW,MATCH_NO_DATE,"ImmunityBio, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1326110/000132611026000036/ibrx-20260409.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
Implanet (PAR: ALIMP),ALIMP,,02-Feb-2024,Merger/Acquisition,"""Martillac, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
IN8bio (NAS: INAB),INAB,0001740279,30-Jul-2021,IPO,"""New York, NY""",2016-02-08,SEC filing,HIGH,SEC_MATCH,"IN8BIO, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1740279/000119312526104181/inab-20251231.htm,"Extracted from filing text: incorporated in Bermuda on February 8, 2016"
Incuvo (WAR: IVO),IVO,,13-Jan-2021,IPO,"""Katowice, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Innovative Eyewear (NAS: LUCY),LUCY,0001808377,15-Aug-2022,IPO,"""Miami, FL""",,SEC,LOW,MATCH_NO_DATE,Innovative Eyewear Inc,10-K,https://www.sec.gov/Archives/edgar/data/1808377/000182912626002695/innovativeeye_10k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-25
Inspire Veterinary Partners (PINX: IVPR),IVPR,0001939365,30-Aug-2023,IPO,"""Virginia Beach, VA""",,SEC,LOW,MATCH_NO_DATE,"INSPIRE VETERINARY PARTNERS, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1939365/000121390026022162/ea0279113-8k_inspire.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Instacart (NAS: CART),CART,0001579091,19-Sep-2023,IPO,"""San Francisco, CA""",2012-08-03,SEC filing,HIGH,SEC_MATCH,Maplebear Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1579091/000157909126000018/cart-20251231.htm,"Extracted from filing text: incorporated in Delaware on August 3, 2012"
Instil Bio (NAS: TIL),TIL,0001789769,19-Mar-2021,IPO,"""Dallas, TX""",,SEC,LOW,MATCH_NO_DATE,"Instil Bio, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1789769/000178976926000024/til-20260401.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-03
Integral Acquisition Corporation 1 (PINX: INTE),INTE,,03-Nov-2021,IPO,"""New York, NY""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Intuitive Machines (NAS: LUNR),LUNR,0001844452,08-Feb-2023,Reverse Merger,"""Houston, TX""",2021-01-27,SEC filing,HIGH,SEC_MATCH,"Intuitive Machines, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1844452/000162828026019865/lunr-20251231.htm,"Extracted from filing text: incorporated on January 27, 2021"
