company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
NerdWallet (NAS: NRDS),NRDS,0001625278,04-Nov-2021,IPO,"""San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,"NERDWALLET, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1625278/000162527826000019/nrds-20260319.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-26
Nerdy (Educational Software) (NYS: NRDY),NRDY,0001819404,21-Sep-2021,Reverse Merger,"""Saint Louis, MO""",,SEC,LOW,MATCH_NO_DATE,Nerdy Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1819404/000181940426000035/nrdy-20260403.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-06
Netskope (NAS: NTSK),NTSK,0002063196,18-Sep-2025,IPO,"""Santa Clara, CA""",2012,SEC filing,LOW,SEC_MATCH,Netskope Inc,10-K,https://www.sec.gov/Archives/edgar/data/2063196/000119312526135011/ck0002063196-20260131.htm,Extracted from filing text: founded in 2012
Neumora (NAS: NMRA),NMRA,0001885522,15-Sep-2023,IPO,"""Watertown, MA""",2019-11,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Neumora Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1885522/000119312526130388/nmra-20251231.htm,Extracted from filing text: incorporated in November 2019
NeuroSense Therapeutics (NAS: NRSN),NRSN,0001875091,08-Dec-2021,IPO,"""Cambridge, MA""",2017-02-13,SEC filing,HIGH,SEC_MATCH,NeuroSense Therapeutics Ltd.,20-F,https://www.sec.gov/Archives/edgar/data/1875091/000121390026036970/ea0283072-20f_neurosense.htm,"Extracted from filing text: incorporated on February 13, 2017"
New Bubbleroom Sweden (STO: BBROOM),BBROOM,,23-Nov-2021,IPO,"""Boras, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
NewAmsterdam Pharma (NAS: NAMS),NAMS,0001936258,23-Nov-2022,Reverse Merger,"""Aventura, FL""",,SEC,LOW,MATCH_NO_DATE,NewAmsterdam Pharma Co N.V.,8-K,https://www.sec.gov/Archives/edgar/data/1936258/000119312526084266/nams-20260302.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Nexalin Technology (NAS: NXL),NXL,0001527352,16-Sep-2022,IPO,"""Houston, TX""",,SEC,LOW,MATCH_NO_DATE,"Nexalin Technology, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1527352/000182912626002673/nexalintech_10k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-25
Nexgel (NAS: NXGL),NXGL,0001468929,22-Dec-2021,IPO,"""Langhorne, PA""",2009-01-13,SEC filing,HIGH,SEC_MATCH,"NEXGEL, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1468929/000149315226014377/form10-k.htm,"Extracted from filing text: incorporated in Delaware on January 13, 2009"
NexImmune (PINX: NEXI),NEXI,,12-Feb-2021,IPO,"""Gaithersburg, MD""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
