company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Artiva (NAS: ARTV),ARTV,0001817241,19-Jul-2024,IPO,"""San Diego, CA""",2019-02,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Artiva Biotherapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1817241/000119312526100135/artv-20251231.htm,Extracted from filing text: incorporated in February 2019
Ascend Wellness Holdings (CNQ: AAWH.U),AAWH,0001756390,28-Apr-2021,IPO,"""Morristown, NJ""",2018,SEC filing,LOW,SEC_MATCH,"Ascend Wellness Holdings, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1756390/000162828026017374/aawh-20251231.htm,Extracted from filing text: founded in 2018
AST SpaceMobile (NAS: ASTS),ASTS,0001780312,06-Apr-2021,Reverse Merger,"""Midland, TX""",,SEC,LOW,MATCH_NO_DATE,"AST SpaceMobile, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1780312/000178031226000006/asts-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-02
Astera Labs (NAS: ALAB),ALAB,0001736297,20-Mar-2024,IPO,"""San Jose, CA""",,SEC,LOW,MATCH_NO_DATE,"Astera Labs, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-02-20
Astrid Intelligence (LON: CLAI),CLAI,,26-Feb-2021,IPO,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
AtaiBeckley (NAS: ATAI),ATAI,0002081043,18-Jun-2021,IPO,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,AtaiBeckley Inc.,8-K,https://www.sec.gov/Archives/edgar/data/2081043/000114036126008354/ef20067368_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-09
Atlantic International (NAS: ATLN),ATLN,0001605888,27-Aug-2021,IPO,"""Billerica, MA""",,SEC,LOW,MATCH_NO_DATE,ATLANTIC INTERNATIONAL CORP.,8-K,https://www.sec.gov/Archives/edgar/data/1605888/000121390026039579/ea0284949-8k_atlantic.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-03
Atomic Jelly (WAR: ATJ),ATJ,,09-Feb-2021,IPO,"""Poznan, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Auddia (NAS: AUUD),AUUD,0001554818,17-Feb-2021,IPO,"""Boulder, CO""",,SEC,LOW,MATCH_NO_DATE,AUDDIA INC.,S-1/A,https://www.sec.gov/Archives/edgar/data/1554818/000168316826002724/auddia_s1a1.htm,Matched by ticker; no founding/incorporation text extracted from S-1/A filed 2026-04-07
Aura Biosciences (NAS: AURA),AURA,0001501796,02-Nov-2021,IPO,"""Cambridge, MA""",,SEC,LOW,MATCH_NO_DATE,"Aura Biosciences, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1501796/000119312526130401/aura-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-30
Autonomix (NAS: AMIX),AMIX,0001617867,26-Jan-2024,IPO,"""The Woodlands, TX""",,SEC,LOW,MATCH_NO_DATE,"Autonomix Medical, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1617867/000143774926001381/amix20260114_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-01-16
AVAX One Technology (NAS: AVX),AVX,0001826397,08-Jul-2021,IPO,"""Vancouver, Canada""",2021-11,SEC filing,MEDIUM,SEC_MATCH,AVAX ONE TECHNOLOGY LTD.,10-K,https://www.sec.gov/Archives/edgar/data/1826397/000149315226014138/form10-k.htm,Extracted from filing text: founded in November 2021
Azerion Group (AMS: AZRN),AZRN,,02-Feb-2022,Reverse Merger,"""Amsterdam, Netherlands""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Azitra (ASE: AZTR),AZTR,0001701478,15-Jun-2023,IPO,"""Branford, CT""",,SEC,LOW,MATCH_NO_DATE,"Azitra, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1701478/000149315226012084/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-23
Bakkt Holdings (NYS: BKKT),BKKT,0001820302,18-Oct-2021,Reverse Merger,"""Alpharetta, GA""",,SEC,LOW,MATCH_NO_DATE,"Bakkt, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1820302/000162828026020821/bakkt-20260324.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-24
