company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Enogia (PAR: ALENO),ALENO,,14-Jul-2021,IPO,"""Marseille, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Enovix (NAS: ENVX),ENVX,0001828318,14-Jul-2021,Reverse Merger,"""Fremont, CA""",2006,SEC filing,MEDIUM,SEC_MATCH,Enovix Corp,10-K,https://www.sec.gov/Archives/edgar/data/1828318/000182831826000006/envx-20251228.htm,Extracted from filing text: incorporated in Delaware in 2006
EnSilica (LON: ENSI),ENSI,,24-May-2022,IPO,"""Abingdon, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Entrada Therapeutics (NAS: TRDA),TRDA,0001689375,02-Nov-2021,IPO,"""Boston, MA""",2016-09-22,SEC filing,HIGH,SEC_MATCH,"Entrada Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1689375/000168937526000011/trda-20251231.htm,"Extracted from filing text: incorporated in Delaware on September 22, 2016"
EPH (Milan) (MIL: EPH),EPH,,23-Jun-2022,Merger/Acquisition,"""Milan, Italy""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
EquipmentShare (NAS: EQPT),EQPT,0001693736,23-Jan-2026,IPO,"""Columbia, MO""",,SEC,LOW,MATCH_NO_DATE,EquipmentShare.com Inc,10-K,https://www.sec.gov/Archives/edgar/data/1693736/000162828026019656/eqpt-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-19
Erasca (NAS: ERAS),ERAS,0001761918,16-Jul-2021,IPO,"""San Diego, CA""",,SEC,LOW,MATCH_NO_DATE,"Erasca, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1761918/000119312526104150/eras-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-12
ESS Tech (NYS: GWH),GWH,0001819438,11-Oct-2021,Reverse Merger,"""Wilsonville, OR""",2011,SEC filing,LOW,SEC_MATCH,"ESS Tech, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1819438/000181943826000012/ghw-20251231.htm,Extracted from filing text: founded in 2011
Ethos Technologies (Insurance Brokers) (NAS: LIFE),LIFE,0001788451,29-Jan-2026,IPO,"""Austin, TX""",,SEC,LOW,MATCH_NO_DATE,Ethos Technologies Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1788451/000119312526108887/life-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-17
Eupraxia Pharmaceuticals (TSE: EPRX),EPRX,0001581178,09-Mar-2021,IPO,"""Victoria, Canada""",,SEC,LOW,NO_TARGET_FORM,EUPRAXIA PHARMACEUTICALS INC.,,,"Matched by ticker, but no target form found in recent submissions"
Evaxion (NAS: EVAX),EVAX,0001828253,05-Feb-2021,IPO,"""Hoersholm, Denmark""",2020-12-17,SEC filing,HIGH,SEC_MATCH,Evaxion A/S,20-F,https://www.sec.gov/Archives/edgar/data/1828253/000117184326001346/evax20251231_20f.htm,"Extracted from filing text: incorporated in the articles of association on December 17, 2020"
Eve Holding (NYS: EVEX),EVEX,0001823652,10-May-2022,Reverse Merger,"""Melbourne, FL""",,SEC,LOW,MATCH_NO_DATE,"Eve Holding, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1823652/000155485526000301/evex-20260316.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-16
Evolv Technologies Holdings (NAS: EVLV),EVLV,0001805385,16-Jul-2021,Reverse Merger,"""Waltham, MA""",,SEC,LOW,MATCH_NO_DATE,"Evolv Technologies Holdings, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1805385/000180538526000012/evlv-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-10
Evommune (NYS: EVMN),EVMN,0002044725,06-Nov-2025,IPO,"""Palo Alto, CA""",,SEC,LOW,MATCH_NO_DATE,"Evommune, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/2044725/000119312526093932/evmn-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-05
Execus (MIL: EXEC),EXEC,,04-Aug-2023,IPO,"""Milan, Italy""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Exodus Movement (ASE: EXOD),EXOD,0001821534,05-May-2021,IPO,"""Omaha, NE""",,SEC,LOW,MATCH_NO_DATE,"Exodus Movement, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1821534/000162828026024242/exod-20260408.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-08
Expensify (NAS: EXFY),EXFY,0001476840,10-Nov-2021,IPO,"""Portland, OR""",,SEC,LOW,MATCH_NO_DATE,"Expensify, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1476840/000147684026000009/exfy-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-02-26
Expion360 (NAS: XPON),XPON,0001894954,01-Apr-2022,IPO,"""Redmond, OR""",2021-11,SEC filing,MEDIUM_HIGH,SEC_MATCH,Expion360 Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1894954/000190359626000075/xpon_10k.htm,Extracted from filing text: incorporated in the State of Nevada in November 2021
F45 Training (PINX: FXLV),FXLV,,15-Jul-2021,IPO,"""Austin, TX""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Fadel Partners (LON: FADL),FADL,,06-Apr-2023,IPO,"""New York, NY""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Faraday Future Intelligent Electric (NAS: FFAI),FFAI,0001805521,22-Jul-2021,Reverse Merger,"""Gardena, CA""",,SEC,LOW,MATCH_NO_DATE,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,8-K,https://www.sec.gov/Archives/edgar/data/1805521/000121390026037931/ea0284262-8k_faraday.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Femasys (NAS: FEMY),FEMY,0001339005,18-Jun-2021,IPO,"""Suwanee, GA""",,SEC,LOW,MATCH_NO_DATE,FEMASYS INC,8-K,https://www.sec.gov/Archives/edgar/data/1339005/000114036126012538/ef20069522_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Fermi (REIT) (NAS: FRMI),FRMI,0002071778,01-Oct-2025,IPO,"""Amarillo, TX""",,SEC,LOW,MATCH_NO_DATE,Fermi Inc.,10-K,https://www.sec.gov/Archives/edgar/data/2071778/000207177826000010/frmi-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-30
FIGS (NYS: FIGS),FIGS,0001846576,27-May-2021,IPO,"""Santa Monica, CA""",2013,SEC filing,LOW,SEC_MATCH,"FIGS, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1846576/000162828026012333/figs-20251231.htm,Extracted from filing text: founded in 2013
Figure Technology Solutions (NAS: FIGR),FIGR,0002064124,11-Sep-2025,IPO,"""Charlotte, NC""",,SEC,LOW,MATCH_NO_DATE,"Figure Technology Solutions, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/2064124/000149315226015048/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-03
