company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Mineralys (NAS: MLYS),MLYS,0001933414,09-Feb-2023,IPO,"""Radnor, PA""",,SEC,LOW,MATCH_NO_DATE,"Mineralys Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1933414/000193341426000056/mlys-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-12
Minerva (Therapeutic Devices) (PINX: UTRS),UTRS,,26-Oct-2021,IPO,"""Santa Clara, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
MIRA Pharmaceuticals (NAS: MIRA),MIRA,0001904286,03-Aug-2023,IPO,"""Baltimore, MD""",,SEC,LOW,MATCH_NO_DATE,"MIRA PHARMACEUTICALS, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1904286/000149315226014001/form10-k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-31
Mister Spex (FRA: MRX),MRX,0001997464,02-Jul-2021,IPO,"""Berlin, Germany""",,SEC,LOW,MATCH_NO_DATE,Marex Group plc,20-F,https://www.sec.gov/Archives/edgar/data/1997464/000199746426000018/mar-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 20-F filed 2026-03-25
MNTN (NYS: MNTN),MNTN,0001891027,22-May-2025,IPO,"""Austin, TX""",2009,SEC filing,LOW,SEC_MATCH,"MNTN, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1891027/000189102726000019/mntn-20251231.htm,Extracted from filing text: founded in 2009
Mobix Labs (NAS: MOBX),MOBX,0001855467,21-Dec-2023,Reverse Merger,"""Irvine, CA""",,SEC,LOW,MATCH_NO_DATE,"MOBIX LABS, INC",8-K,https://www.sec.gov/Archives/edgar/data/1855467/000149315226015935/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
Modera (TAL: MODE),MODE,,15-Oct-2021,IPO,"""Tallinn, Estonia""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Modus Therapeutics (STO: MODTX),MODTX,,22-Jul-2021,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Momentus (NAS: MNTS),MNTS,0001781162,12-Aug-2021,Reverse Merger,"""San Jose, CA""",2019-05-28,SEC filing,HIGH,SEC_MATCH,Momentus Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1781162/000162828026022291/mnts-20251231.htm,"Extracted from filing text: incorporated in the State of Delaware as Stable Road Acquisition Corp. on May 28, 2019"
Monte Rosa Therapeutics (NAS: GLUE),GLUE,0001826457,24-Jun-2021,IPO,"""Boston, MA""",2019-11,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Monte Rosa Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1826457/000119312526109360/glue-20251231.htm,Extracted from filing text: incorporated in the State of Delaware in November 2019
Moolec Science (NAS: MLEC),MLEC,0001937737,03-Jan-2023,Reverse Merger,Luxembourg,2022-05-23,SEC filing,HIGH,SEC_MATCH,Moolec Science SA,20-F,https://www.sec.gov/Archives/edgar/data/1937737/000121390025125820/ea0270125-20f_moolec.htm,"Extracted from filing text: incorporated on May 23, 2022"
MoonLake Immunotherapeutics (NAS: MLTX),MLTX,0001821586,06-Apr-2022,Reverse Merger,"""Zug, Switzerland""",2020-08-13,SEC filing,HIGH,SEC_MATCH,MoonLake Immunotherapeutics,10-K,https://www.sec.gov/Archives/edgar/data/1821586/000182158626000002/mnlk-20251231.htm,"Extracted from filing text: incorporated on August 13, 2020"
Movano Health (NAS: MOVE),MOVE,0001734750,23-Mar-2021,IPO,"""Pleasanton, CA""",,SEC,LOW,MATCH_NO_DATE,"Corvex, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1734750/000121390026041734/ea028561901-8k_corvexinc.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
