company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Owlet Baby Care (NYS: OWLT),OWLT,0001816708,15-Jul-2021,Reverse Merger,"""Lehi, UT""",,SEC,LOW,MATCH_NO_DATE,"Owlet, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1816708/000181670826000023/owlt-20260403.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-06
Oxford Nanopore Technologies (LON: ONT),ONT,,30-Sep-2021,IPO,"""Oxford, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Pagaya Technologies (NAS: PGY),PGY,0001883085,23-Jun-2022,Reverse Merger,"""New York, NY""",2016-03-20,SEC filing,HIGH,SEC_MATCH,Pagaya Technologies Ltd.,10-K,https://www.sec.gov/Archives/edgar/data/1883085/000188308526000018/pgy-20251231.htm,"Extracted from filing text: incorporated on March 20, 2016"
Parlem Telecom (MAD: PAR),PAR,0000708821,23-Jun-2021,IPO,"""Barcelona, Spain""",,SEC,LOW,MATCH_NO_DATE,PAR TECHNOLOGY CORP,8-K,https://www.sec.gov/Archives/edgar/data/708821/000070882126000031/par-20260317.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-17
Parvis Invest (TSX: PVIS),PVIS,,03-Mar-2023,Reverse Merger,"""Vancouver, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Pasithea Therapeutics (NAS: KTTA),KTTA,0001841330,15-Sep-2021,IPO,"""Miami Beach, FL""",2020-05-12,SEC filing,HIGH,SEC_MATCH,Pasithea Therapeutics Corp.,10-K,https://www.sec.gov/Archives/edgar/data/1841330/000121390026036434/ea0275535-10k_pasithea.htm,"Extracted from filing text: incorporated in the State of Delaware on May 12, 2020"
Payoneer (NAS: PAYO),PAYO,0001845815,28-Jun-2021,Reverse Merger,"""New York, NY""",2005,SEC filing,LOW,SEC_MATCH,Payoneer Global Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1845815/000110465926020487/payo-20251231x10k.htm,Extracted from filing text: founded in 2005
PensionBee Group (LON: PBEE),PBEE,,21-Apr-2021,IPO,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Pentixapharm Holding (FRA: PTP),PTP,,16-Apr-2021,Merger/Acquisition,"""Wurzburg, Germany""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
PepGen (NAS: PEPG),PEPG,0001835597,06-May-2022,IPO,"""Boston, MA""",,SEC,LOW,MATCH_NO_DATE,PepGen Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1835597/000119312526131786/pepg-20260330.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-30
