company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
CervoMed (NAS: CRVO),CRVO,0001053691,16-Aug-2023,Reverse Merger,"""Boston, MA""",,SEC,LOW,MATCH_NO_DATE,CervoMed Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1053691/000143774926011597/crvo20260407_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
CF Intercity (MAD: CITY),CITY,,29-Oct-2021,IPO,"""Alicante, Spain""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
CG Oncology (NAS: CGON),CGON,0001991792,25-Jan-2024,IPO,"""Irvine, CA""",2017-11,SEC filing,MEDIUM_HIGH,SEC_MATCH,"CG Oncology, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1991792/000119312526079498/ck0001991792-20251231.htm,Extracted from filing text: incorporated in Delaware in November 2017
Chain Bridge I (PINX: CBRRF),CBRRF,0001845149,10-Nov-2021,IPO,"""Dover, DE""",2021-01-21,SEC filing,HIGH,SEC_MATCH,Chain Bridge I,10-K,https://www.sec.gov/Archives/edgar/data/1845149/000121390026038489/ea0284137-10k_chain1.htm,"Extracted from filing text: incorporated on January 21, 2021"
ChargePoint (NYS: CHPT),CHPT,0001777393,26-Feb-2021,Reverse Merger,"""Campbell, CA""",,SEC,LOW,MATCH_NO_DATE,"ChargePoint Holdings, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1777393/000177739326000013/chpt-20260131.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-04-02
Checkin.com Group (STO: CHECK),CHECK,,20-May-2021,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Chime Financial (NAS: CHYM),CHYM,0001795586,11-Jun-2025,IPO,"""San Francisco, CA""",2012,SEC filing,MEDIUM,SEC_MATCH,"Chime Financial, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1795586/000179558626000013/chym-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in 2012
Cinclus Pharma (STO: CINPHA),CINPHA,,19-Jun-2024,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Circle (NYS: CRCL),CRCL,0001876042,05-Jun-2025,IPO,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,"Circle Internet Group, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000078/crcl-20260316.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-17
Cizzle Biotechnology Holdings (LON: CIZ),CIZ,,26-Apr-2021,Reverse Merger,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Climb Bio (NAS: CLYM),CLYM,0001768446,10-Aug-2021,IPO,"""Wellesley Hills, MA""",,SEC,LOW,MATCH_NO_DATE,"Climb Bio, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1768446/000119312526142114/d59877d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-03
Cloudastructure (NAS: CSAI),CSAI,0001709628,01-Apr-2025,IPO,"""Palo Alto, CA""",,SEC,LOW,MATCH_NO_DATE,"CLOUDASTRUCTURE, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1709628/000168316826002561/cloudastructure_i10k-123125.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-31
Clover Health Investments (NAS: CLOV),CLOV,0001801170,07-Jan-2021,Reverse Merger,"""Franklin, TN""",,SEC,LOW,MATCH_NO_DATE,"CLOVER HEALTH INVESTMENTS, CORP. /DE",8-K,https://www.sec.gov/Archives/edgar/data/1801170/000180117026000080/clov-20260330.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Cognition Therapeutics (NAS: CGTX),CGTX,0001455365,08-Oct-2021,IPO,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,COGNITION THERAPEUTICS INC,10-K,https://www.sec.gov/Archives/edgar/data/1455365/000110465926034880/cgtx-20251231x10k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-26
Compass (Application Software) (NYS: COMP),COMP,0001563190,01-Apr-2021,IPO,"""New York, NY""",2012-10-04,SEC filing,HIGH,SEC_MATCH,"Compass, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1563190/000156319026000057/comp-20251231.htm,"Extracted from filing text: incorporated in Delaware on October 4, 2012"
Compass Therapeutics (NAS: CMPX),CMPX,0001738021,04-Nov-2021,IPO,"""Boston, MA""",2018-03-20,SEC filing,HIGH,SEC_MATCH,"Compass Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1738021/000117184326001337/cmpx20251231_10k.htm,"Extracted from filing text: incorporated in the State of Delaware on March 20, 2018"
Confluent (NAS: CFLT),CFLT,,24-Jun-2021,IPO,"""Mountain View, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
ConnectM Technology Solutions (PINX: CNTM),CNTM,0001895249,12-Jul-2024,Reverse Merger,"""Marlborough, MA""",,SEC,LOW,MATCH_NO_DATE,"ConnectM Technology Solutions, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1895249/000110465926040183/tm2611215d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
Context Therapeutics (NAS: CNTX),CNTX,0001842952,20-Oct-2021,IPO,"""Philadelphia, PA""",,SEC,LOW,MATCH_NO_DATE,Context Therapeutics Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1842952/000162828026022931/cntx-20260402.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-02
ContextLogic Holdings (PINX: LOGC),LOGC,0002064307,19-Apr-2024,Merger/Acquisition,"""San Francisco, CA""",,SEC,LOW,MATCH_NO_DATE,ContextLogic Holdings Inc.,8-K,https://www.sec.gov/Archives/edgar/data/2064307/000119312526135783/logc-20260326.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-01
Contineum Therapeutics (NAS: CTNM),CTNM,0001855175,05-Apr-2024,IPO,"""San Diego, CA""",2017-05,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Contineum Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1855175/000162828026015165/ctnm-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in May 2017
Core Scientific (NAS: CORZ),CORZ,0001839341,20-Jan-2022,Reverse Merger,"""Dover, DE""",,SEC,LOW,MATCH_NO_DATE,"Core Scientific, Inc./tx",8-K,https://www.sec.gov/Archives/edgar/data/1839341/000162828026020327/core-20260318.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-23
CoreWeave (NAS: CRWV),CRWV,0001769628,28-Mar-2025,IPO,"""Livingston, NJ""",,SEC,LOW,MATCH_NO_DATE,"CoreWeave, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1769628/000119312526148912/d136714d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
Coupang (NYS: CPNG),CPNG,0001834584,11-Mar-2021,IPO,"""Seattle, WA""",,SEC,LOW,MATCH_NO_DATE,"Coupang, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1834584/000183458426000024/cpng-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-02-26
Coursera (NYS: COUR),COUR,0001651562,31-Mar-2021,IPO,"""Mountain View, CA""",,SEC,LOW,MATCH_NO_DATE,"Coursera, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1651562/000114036126014012/ef20070131_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
