company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Nuvalent (NAS: NUVL),NUVL,0001861560,29-Jul-2021,IPO,"""Cambridge, MA""",,SEC,LOW,MATCH_NO_DATE,"Nuvalent, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1861560/000186156026000003/nuvl-20260407.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
Nuvation Bio (NYS: NUVB),NUVB,0001811063,10-Feb-2021,Reverse Merger,"""New York, NY""",2018-03-20,SEC filing,HIGH,SEC_MATCH,Nuvation Bio Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1811063/000119312526085584/nuvb-20251231.htm,"Extracted from filing text: incorporated on March 20, 2018"
Nuvectis Pharma (NAS: NVCT),NVCT,0001875558,04-Feb-2022,IPO,"""Fort Lee, NJ""",,SEC,LOW,MATCH_NO_DATE,"Nuvectis Pharma, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1875558/000110465926013049/tm265090d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-02-11
Nxu (PINX: NXUR),NXUR,0001722969,27-Sep-2022,IPO,"""Tempe, AZ""",,SEC,LOW,MATCH_NO_DATE,"Nxu, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1722969/000121465925009491/x6222508k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2025-06-23
Oberon Investments (NEXX: OBE),OBE,0001334388,21-Jan-2021,Reverse Merger,"""London, United Kingdom""",,SEC,LOW,NO_TARGET_FORM,OBSIDIAN ENERGY LTD.,,,"Matched by ticker, but no target form found in recent submissions"
Obiz (PAR: ALBIZ),ALBIZ,,26-May-2021,IPO,"""Lyon, France""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Ocean Biomedical (PINX: OCEA),OCEA,0001869974,08-Sep-2022,Reverse Merger,"""Providence, RI""",,SEC,LOW,MATCH_NO_DATE,"Ocean Biomedical, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1869974/000164117225022271/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2025-08-05
Offerpad Solutions (NYS: OPAD),OPAD,0001825024,01-Sep-2021,Reverse Merger,"""Tempe, AZ""",,SEC,LOW,MATCH_NO_DATE,Offerpad Solutions Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1825024/000119312526096469/d25821d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-06
Omada (NAS: OMDA),OMDA,0001611115,06-Jun-2025,IPO,"""Dallas, TX""",2011-04,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Omada Health, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1611115/000162828026015637/omda-20251231.htm,Extracted from filing text: incorporated in the State of Delaware in April 2011
OmniAb (NAS: OABI),OABI,0001846253,01-Nov-2022,Reverse Merger,"""Emeryville, CA""",,SEC,LOW,MATCH_NO_DATE,"OmniAb, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1846253/000184625326000009/ck0001846253-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-04
On Holding (Zurich) (NYS: ONON),ONON,0001858985,15-Sep-2021,IPO,"""Zurich, Switzerland""",,SEC,LOW,MATCH_NO_DATE,On Holding AG,20-F,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000008/onholdingag-20251231.htm,Matched by ticker; no founding/incorporation text extracted from 20-F filed 2026-03-03
Onconetix (NAS: ONCO),ONCO,0001782107,18-Feb-2022,IPO,"""Cincinnati, OH""",,SEC,LOW,MATCH_NO_DATE,"Onconetix, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1782107/000121390026034902/ea0283569-8k_onconetix.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-27
OneFlow (STO: ONEF),ONEF,,08-Apr-2022,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
OneMedNet (NAS: ONMD),ONMD,0001849380,25-Apr-2022,Reverse Merger,"""Eden Prairie, MN""",2021-02-08,SEC filing,HIGH,SEC_MATCH,OneMedNet Corp,10-K,https://www.sec.gov/Archives/edgar/data/1849380/000149315226013681/form10-k.htm,"Extracted from filing text: incorporated in Delaware on February 8, 2021"
Onfolio (NAS: ONFO),ONFO,0001825452,26-Aug-2022,IPO,"""Wilmington, DE""",,SEC,LOW,MATCH_NO_DATE,"Onfolio Holdings, Inc",8-K,https://www.sec.gov/Archives/edgar/data/1825452/000165495426003389/onfo_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-10
ONWARD Medical (BRU: ONWD),ONWD,,21-Oct-2021,IPO,"""Eindhoven, Netherlands""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
OODA AI (STO: OODA),OODA,,21-Dec-2021,Reverse Merger,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
