company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Bicara Therapeutics (NAS: BCAX),BCAX,0002023658,09-Jan-2021,Merger/Acquisition,"""Boston, MA""",2018-12,SEC filing,MEDIUM_HIGH,SEC_MATCH,Bicara Therapeutics Inc.,10-K,https://www.sec.gov/Archives/edgar/data/2023658/000162828026022010/bcax-20251231.htm,Extracted from filing text: incorporated in the state of Delaware in December 2018
BillionToOne (NAS: BLLN),BLLN,0002070849,06-Nov-2025,IPO,"""Menlo Park, CA""",2016,SEC filing,LOW,SEC_MATCH,"BillionToOne, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/2070849/000207084926000017/blln-20251231.htm,Extracted from filing text: founded in 2016
bioAffinity Technologies (NAS: BIAF),BIAF,0001712762,01-Sep-2022,IPO,"""San Antonio, TX""",,SEC,LOW,MATCH_NO_DATE,"bioAffinity Technologies, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1712762/000149315226015445/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
BioAge Labs (NAS: BIOA),BIOA,0001709941,26-Sep-2024,IPO,"""Richmond, CA""",2020-12,SEC filing,MEDIUM_HIGH,SEC_MATCH,"BioAge Labs, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1709941/000119312526120873/bioa-20251231.htm,Extracted from filing text: incorporated in Australia in December 2020
Biodit (XBUL: BDT),BDT,,21-Jan-2021,IPO,"""Sofia, Bulgaria""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Biohaven (NYS: BHVN),BHVN,0001935979,03-Oct-2022,Merger/Acquisition,"""New Haven, CT""",,SEC,LOW,MATCH_NO_DATE,Biohaven Ltd.,8-K,https://www.sec.gov/Archives/edgar/data/1935979/000193597926000022/bhvn-20260302.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Biomea Fusion (NAS: BMEA),BMEA,0001840439,16-Apr-2021,IPO,"""Redwood City, CA""",2017,SEC filing,LOW,SEC_MATCH,"Biomea Fusion, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1840439/000119312526121825/bmea-20251231.htm,Extracted from filing text: founded in 2017
BioSenic (BRU: BIOS),BIOS,,25-Oct-2022,Reverse Merger,"""Mont-Saint-Guibert, Belgium""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Biosergen (STO: BIOSGN),BIOSGN,,24-Jun-2021,IPO,"""Solna, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Biotalys (BRU: BTLS),BTLS,,02-Jul-2021,IPO,"""Ghent, Belgium""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
BioVersys (SWX: BIOV),BIOV,,07-Feb-2025,IPO,"""Basel, Switzerland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
