company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Coveo Solutions (TSE: CVO),CVO,,24-Nov-2021,IPO,"""Montreal, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Coya Therapeutics (NAS: COYA),COYA,0001835022,29-Dec-2022,IPO,"""Houston, TX""",,SEC,LOW,MATCH_NO_DATE,"Coya Therapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1835022/000119312526139094/d104763d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-02
CreateAI Holdings (PINX: TSPH),TSPH,0001823593,15-Apr-2021,IPO,"""San Diego, CA""",,SEC,LOW,MATCH_NO_DATE,TuSimple Holdings Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1823593/000119312524017451/d104340d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2024-01-29
Cube Labs (MIL: CUBE),CUBE,0001298675,21-Mar-2023,IPO,"""Rome, Italy""",,SEC,LOW,MATCH_NO_DATE,CubeSmart,8-K,https://www.sec.gov/Archives/edgar/data/1298675/000110465926022363/tm267485d4_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Cullinan Therapeutics (NAS: CGEM),CGEM,0001789972,08-Jan-2021,IPO,"""Cambridge, MA""",2016-09,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Cullinan Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1789972/000119312526099362/cgem-20251231.htm,Extracted from filing text: incorporated in September 2016
CVRx (NAS: CVRX),CVRX,0001235912,30-Jun-2021,IPO,"""Minneapolis, MN""",,SEC,LOW,MATCH_NO_DATE,"CVRx, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1235912/000110465926022952/tm267672d1_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-03
Cybeats Technologies (CNQ: CYBT),CYBT,,18-Mar-2021,Merger/Acquisition,"""Toronto, Canada""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
CycleZyme (SAT: CYCLE),CYCLE,,22-Dec-2023,IPO,"""Lund, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Cyngn (NAS: CYN),CYN,0001874097,20-Oct-2021,IPO,"""Mountain View, CA""",,SEC,LOW,MATCH_NO_DATE,Cyngn Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1874097/000121390026041070/ea0285300-8k_cyngn.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
Datrix (MIL: DATA),DATA,,03-Dec-2021,IPO,"""Milan, Italy""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Dave (NAS: DAVE),DAVE,0001841408,05-Jan-2022,Reverse Merger,"""Los Angeles, CA""",,SEC,LOW,MATCH_NO_DATE,Dave Inc./DE,8-K,https://www.sec.gov/Archives/edgar/data/1841408/000119312526098802/d108294d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-09
Day One Biopharmaceuticals (NAS: DAWN),DAWN,0001845337,27-May-2021,IPO,"""Brisbane, CA""",,SEC,LOW,MATCH_NO_DATE,"Day One Biopharmaceuticals, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1845337/000119312526095174/d108979d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-06
Defence Holdings (LON: ALRT),ALRT,,15-Oct-2024,Merger/Acquisition,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
DeFi Development (NAS: DFDV),DFDV,0001805526,26-Jul-2023,IPO,"""Boca Raton, FL""",,SEC,LOW,MATCH_NO_DATE,DeFi Development Corp.,8-K,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000010/dfdv-20260404.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-06
Demolish Games (WAR: DGS),DGS,,24-Aug-2023,IPO,"""Warsaw, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Dermata Therapeutics (NAS: DRMA),DRMA,0001853816,13-Aug-2021,IPO,"""San Diego, CA""",,SEC,LOW,MATCH_NO_DATE,"Dermata Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1853816/000149315226012992/form10-k.htm,Matched by ticker; no founding/incorporation text extracted from 10-K filed 2026-03-26
Desert Control (OSL: DSRT),DSRT,,14-Apr-2021,IPO,"""Sandnes, Norway""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Devolver Digital (LON: DEVO),DEVO,,04-Nov-2021,IPO,"""Austin, TX""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Dianomi (LON: DNM),DNM,,24-May-2021,IPO,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Dianthus Therapeutics (NAS: DNTH),DNTH,0001690585,11-Sep-2023,Reverse Merger,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,"Dianthus Therapeutics, Inc. /DE/",8-K,https://www.sec.gov/Archives/edgar/data/1690585/000169058526000010/dnth-20260326.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-26
Digital Workforce Services (HEL: DWF),DWF,,03-Dec-2021,IPO,"""Helsinki, Finland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
DigitalOcean (NYS: DOCN),DOCN,0001582961,24-Mar-2021,IPO,"""New York, NY""",,SEC,LOW,MATCH_NO_DATE,"DigitalOcean Holdings, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1582961/000110465926034746/tm269524d6_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-26
Disc Medicine (NAS: IRON),IRON,0001816736,30-Dec-2022,Reverse Merger,"""Watertown, MA""",,SEC,LOW,MATCH_NO_DATE,"Disc Medicine, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1816736/000119312526082855/iron-20260226.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-02-27
DISCO (Austin) (NYS: LAW),LAW,0001625641,21-Jul-2021,IPO,"""Austin, TX""",2013-12,SEC filing,MEDIUM_HIGH,SEC_MATCH,"CS Disco, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1625641/000162564126000044/law-20251231.htm,Extracted from filing text: incorporated in Delaware in December 2013
Dlaboratory Sweden (STO: DLAB),DLAB,,21-Apr-2021,IPO,"""Lund, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
