company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
Invivyd (NAS: IVVD),IVVD,0001832038,06-Aug-2021,IPO,"""New Haven, CT""",,SEC,LOW,MATCH_NO_DATE,"Invivyd, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1832038/000119312526148865/d147019d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-09
IO Biotech (NAS: IOBT),IOBT,0001865494,05-Nov-2021,IPO,"""Copenhagen, Denmark""",,SEC,LOW,MATCH_NO_DATE,"IO Biotech, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1865494/000119312526133331/d87973d8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-31
IonQ (NYS: IONQ),IONQ,0001824920,28-Sep-2021,Reverse Merger,"""College Park, MD""",,SEC,LOW,MATCH_NO_DATE,"IonQ, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1824920/000119312526124402/ionq-20260319.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-25
IP Strategy (NAS: IPST),IPST,0001788230,22-Nov-2024,IPO,"""Gig Harbor, WA""",,SEC,LOW,MATCH_NO_DATE,"IP STRATEGY HOLDINGS, INC.",8-K,https://www.sec.gov/Archives/edgar/data/1788230/000178823026000026/ipst-20260320.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-20
iSpecimen (NAS: ISPC),ISPC,0001558569,17-Jun-2021,IPO,"""Woburn, MA""",,SEC,LOW,MATCH_NO_DATE,iSpecimen Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1558569/000121390026042468/ea0285909-8k_ispecimen.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-10
Ivanhoe Electric (ASE: IE),IE,0001879016,28-Jun-2022,IPO,"""Tempe, AZ""",,SEC,LOW,MATCH_NO_DATE,Ivanhoe Electric Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1879016/000165495426001767/ie_8k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Janux Therapeutics (NAS: JANX),JANX,0001817713,11-Jun-2021,IPO,"""San Diego, CA""",2017-06,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Janux Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1817713/000119312526076918/janx-20251231.htm,Extracted from filing text: incorporated in June 2017
Jasper Therapeutics (NAS: JSPR),JSPR,0001788028,24-Sep-2021,Reverse Merger,"""Redwood City, CA""",,SEC,LOW,MATCH_NO_DATE,"Jasper Therapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1788028/000121390026036448/ea0283364-8k_jasper.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-30
Jet.AI (NAS: JTAI),JTAI,0001861622,10-Aug-2023,Reverse Merger,"""Las Vegas, NV""",,SEC,LOW,MATCH_NO_DATE,Jet.AI Inc.,8-K,https://www.sec.gov/Archives/edgar/data/1861622/000149315226016168/form8-k.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-10
JetLend (MISX: JETL),JETL,,25-Mar-2025,IPO,"""Skolkovo, Russia""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Joby Aviation (NYS: JOBY),JOBY,0001819848,10-Aug-2021,Reverse Merger,"""Santa Cruz, CA""",,SEC,LOW,MATCH_NO_DATE,"Joby Aviation, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1819848/000181984826000190/joby-20260306.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-11
Journey Medical (NAS: DERM),DERM,0001867066,12-Nov-2021,IPO,"""Scottsdale, AZ""",2014,SEC filing,MEDIUM,SEC_MATCH,Journey Medical Corp,10-K,https://www.sec.gov/Archives/edgar/data/1867066/000110465926034629/derm-20251231x10k.htm,Extracted from filing text: incorporated in Delaware in 2014
Jupiter Neurosciences (NAS: JUNS),JUNS,0001679628,03-Dec-2024,IPO,"""Palm Beach Gardens, FL""",2016-01,SEC filing,MEDIUM_HIGH,SEC_MATCH,"JUPITER NEUROSCIENCES, INC.",10-K,https://www.sec.gov/Archives/edgar/data/1679628/000149315226014687/form10-k.htm,Extracted from filing text: incorporated in January 2016
Kairos Pharma (ASE: KAPA),KAPA,0001962011,16-Sep-2024,IPO,"""Los Angeles, CA""",2013-06-17,SEC filing,HIGH,SEC_MATCH,"Kairos Pharma, LTD.",10-K,https://www.sec.gov/Archives/edgar/data/1962011/000149315226014159/form10-k.htm,"Extracted from filing text: incorporated on June 17, 2013"
KBJ (WAR: KBJ),KBJ,,28-Jun-2024,Merger/Acquisition,"""Warsaw, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Keros Therapeutics (NAS: KROS),KROS,0001664710,04-Jan-2024,IPO,"""Lexington, MA""",,SEC,LOW,MATCH_NO_DATE,"Keros Therapeutics, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1664710/000166471026000024/kros-20260309.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-09
Kinda Brave (STO: BRAVE),BRAVE,,03-Jun-2024,IPO,"""Stockholm, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Klarna Group (NYS: KLAR),KLAR,0002003292,10-Sep-2025,IPO,"""Stockholm, Sweden""",2022-11,SEC filing,MEDIUM_HIGH,SEC_MATCH,Klarna Group plc,20-F,https://www.sec.gov/Archives/edgar/data/2003292/000200329226000007/klar-20251231.htm,Extracted from filing text: incorporated in November 2022
Klaviyo (NYS: KVYO),KVYO,0001835830,20-Sep-2023,IPO,"""Boston, MA""",,SEC,LOW,MATCH_NO_DATE,"Klaviyo, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1835830/000183583026000011/kvyo-20260302.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Knightscope (NAS: KSCP),KSCP,0001600983,27-Jan-2022,IPO,"""Mountain View, CA""",2013-04-04,SEC filing,HIGH,SEC_MATCH,"Knightscope, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1600983/000110465926036240/kscp-20251231x10k.htm,"Extracted from filing text: incorporated on April 4, 2013"
Knorex (ASE: KNRX),KNRX,0001982960,29-Sep-2025,IPO,"""Sunnyvale, CA""",2023-05-09,SEC filing,HIGH,SEC_MATCH,KNOREX LTD.,F-1/A,https://www.sec.gov/Archives/edgar/data/1982960/000149315225014499/formf-1a.htm,"Extracted from filing text: incorporated on May 9, 2023"
Kodiak Robotics (NAS: KDK),KDK,0001853138,24-Sep-2025,Reverse Merger,"""Mountain View, CA""",2018,SEC filing,LOW,SEC_MATCH,"Kodiak AI, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1853138/000162828026016910/kdk-20251231.htm,Extracted from filing text: founded in 2018
Kvix (NGM: KVIX),KVIX,,06-Dec-2021,IPO,"""Ume�, Sweden""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Kyverna (NAS: KYTX),KYTX,0001994702,08-Feb-2024,IPO,"""Emeryville, CA""",2018-06,SEC filing,MEDIUM_HIGH,SEC_MATCH,"Kyverna Therapeutics, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1994702/000119312526126242/kytx-20251231.htm,Extracted from filing text: incorporated in Delaware in June 2018
LanzaTech Global (NAS: LNZA),LNZA,0001843724,08-Feb-2023,Reverse Merger,"""Skokie, IL""",2021-01-28,SEC filing,HIGH,SEC_MATCH,"LanzaTech Global, Inc.",10-K,https://www.sec.gov/Archives/edgar/data/1843724/000162828026022505/lnza-20251231.htm,"Extracted from filing text: incorporated in Delaware on January 28, 2021"
